"","DayNeg8","DayNeg4","Day0","DayPos1","DayPos7","DayPos16","DayPos21","DayPos28"
"PRPH2",2.4474685663,-0.0073230395,-0.4424320156,-0.4424320156,-0.3678419054,-0.302575559,-0.4424320156,-0.4424320156
"PRPS2",1.8283218773,1.0737627244,0.2652467646,-0.8082147535,-0.7380952085,-0.952191733,-0.5641816663,-0.1046480049
"PRR11",0.3556148039,0.5892771678,1.9293505868,0.3391617216,-0.5204704622,-0.8764169639,-0.9069869132,-0.9095299408
"PRR14",-0.5592306647,-0.2951679303,1.4907065673,1.5921206672,0.1013156757,-0.8729628501,-0.7978441177,-0.6589373475
"PRR16",-1.2104834974,-1.2315494048,-0.1166767688,-0.2722403925,-0.3227985701,0.4751455917,1.2590890275,1.4195140144
"PRR18",-0.6265024464,-0.6476591799,-0.611692733,-0.4955951583,2.3023299461,0.436464733,-0.0975021283,-0.2598430331
"PRR3",-1.1666557496,-1.376974816,-0.7402358189,-0.2342969477,0.8734620281,0.9192457439,1.0101446946,0.7153108656
"PRR7",-0.157546371,-1.2328704182,-1.1000017897,-0.4584547355,1.7997335795,0.8545999461,0.252783217,0.0417565718
"PRRG1",-0.7664900963,-0.6251067292,1.7704881197,1.2855236778,0.1801275736,-0.4450005289,-0.5886295241,-0.8109124927
"PRRG2",-0.0793170622,-0.8433499978,1.6333502717,1.4413756189,-0.0054888275,-0.7021848999,-0.7015179782,-0.742867125
"PRRG3",-1.1824508572,-0.6084017925,1.6909240823,1.3637714026,-0.0635228272,-0.3416459166,-0.5369076251,-0.3217664663
"PRRT1",-0.7293347999,-0.7293347999,-0.7592485574,-0.7966407542,0.1321814159,0.3924311061,0.3924311061,2.0975152832
"PRRT3",-0.8078658511,-0.9097793171,-0.8497111153,-0.9096105862,0.0692243843,0.8893983112,1.3004267931,1.2179173811
"PRRX2",0.8541081553,-0.1724538216,1.975165377,0.3193509748,-0.6225948057,-0.7372776709,-0.814591962,-0.8017062468
"PRSS1",-0.3535533906,-0.3535533906,-0.3535533906,-0.3535533906,-0.3535533906,-0.3535533906,2.4748737342,-0.3535533906
"PRSS12",-1.1052548883,-0.1029904665,1.4129873336,-0.3821020776,1.6503379271,-0.1711666492,-0.5391023589,-0.7627088201
"PRSS16",1.7567937422,0.9180831116,0.7431535011,-0.3074488545,-0.753189996,-0.8124757636,-0.7324399773,-0.8124757636
"PRSS22",2.4617897311,-0.1022612717,-0.4030297177,-0.4030297177,-0.3669375042,-0.4030297177,-0.3804720843,-0.4030297177
"PRSS27",2.0603271218,-0.6417412347,-0.6417412347,0.7092929436,0.4390861079,-0.6417412347,-0.6417412347,-0.6417412347
"PRSS33",2.4133924934,0.1978190568,-0.435201925,-0.435201925,-0.435201925,-0.435201925,-0.435201925,-0.435201925
"PRSS36",1.9033126499,-0.5195690044,-0.3850477873,-1.5870162187,-0.1346261993,-0.1620895481,0.4900839981,0.3949521099
"PRSS8",1.7626314625,1.0747775115,0.4394381246,-0.2735076416,-0.3557758883,-0.8151069319,-0.9247979275,-0.9076587094
"PRTG",0.4992044467,0.8376237947,1.9128474437,-0.5711763164,-0.2193827983,-0.8248871674,-0.8211797987,-0.8130496042
"PRTN3",-1.348587778,-1.5525084546,-0.1042554863,0.6636723268,1.3869123803,0.499495374,0.3743338567,0.0809377812
"PRX",2.2795806072,-0.0193687468,-0.067869569,0.3077003085,-0.3004127831,-0.7107131256,-0.7392667733,-0.7496499179
"PSAP",-1.2313226101,-1.3610194339,-0.4163385706,-0.5200559651,0.6655990596,0.8932925828,1.0420907849,0.9277541525
"PSAPL1",0,-0.4082482905,-0.4082482905,-0.4082482905,-0.4082482905,-0.4082482905,-0.4082482905,2.4494897428
"PSAT1",1.0938539951,0.9232432645,0.7838907236,0.7793997265,-0.2894907495,-1.0726919333,-0.977825968,-1.240379059
"PSD2",-1.0212068,-1.0152429983,-0.9098737634,-0.5674257162,1.5756563322,0.6166549986,0.5183800663,0.8030578806
"PSD3",-0.9949489346,-0.9727233998,-0.7600905518,-0.6746873283,-0.0149770556,1.2682669995,1.3120403831,0.8371198875
"PSD4",2.3303189905,-0.2489689403,0.0051343586,0.1678224463,-0.1733577148,-0.631673299,-0.7153414584,-0.7339343827
"PSEN1",-1.1868365291,-1.3860779424,1.1570061764,1.2645796443,0.7125063036,-0.1341591091,0.0268505665,-0.4538691103
"PSENEN",-0.2515260056,-1.9721641652,1.3963645847,0.1885177149,0.3223004947,-0.6130972395,0.1908661962,0.7387384198
